,location,size,total_sqft,bath,price
1782,Devanahalli,3.0,1200.0,2.0,55.08
1785,Devanahalli,2.0,1230.0,2.0,56.45
1786,Devanahalli,2.0,1360.0,2.0,62.425
1787,Devanahalli,1.0,658.0,1.0,26.91
1788,Devanahalli,3.0,1290.0,2.0,62.0
1790,Devanahalli,3.0,1466.0,3.0,59.96
1791,Devanahalli,3.0,1520.0,2.0,69.76
1792,Devanahalli,1.0,1075.0,2.0,52.57
1793,Dodda Nekkundi,2.0,1260.0,2.0,55.0
1794,Dodda Nekkundi,2.0,850.0,2.0,28.0
1795,Dodda Nekkundi,2.0,1390.0,2.0,60.0
1797,Dodda Nekkundi,2.0,1080.0,2.0,50.0
1799,Dodda Nekkundi,2.0,1100.0,2.0,48.0
1801,Dodda Nekkundi,2.0,1100.0,2.0,41.15
1803,Dodda Nekkundi,2.0,1155.0,2.0,46.0
1804,Dodda Nekkundi,2.0,1128.0,2.0,45.0
1805,Dodda Nekkundi,2.0,1148.0,2.0,56.0
1806,Dodda Nekkundi,3.0,1435.0,3.0,57.2
1807,Dodda Nekkundi,2.0,1145.0,2.0,46.5
1809,Dodda Nekkundi,2.0,1100.0,2.0,41.16
1810,Dodda Nekkundi,2.0,1100.0,2.0,46.75
1811,Dodda Nekkundi,2.0,1315.0,2.0,50.0
1812,Dodda Nekkundi,2.0,1135.0,2.0,58.0
1813,Dodda Nekkundi,2.0,1100.0,2.0,41.18
1814,Dodda Nekkundi,2.0,1370.0,2.0,60.0
1815,Dodda Nekkundi,2.0,1200.0,2.0,71.0
1817,Dodda Nekkundi,2.0,1005.0,2.0,45.0
1818,Dodda Nekkundi,2.0,1264.0,2.0,52.0
1819,Doddaballapur,4.0,1690.0,3.0,80.0
1820,Doddaballapur,4.0,4200.0,4.0,325.0
1821,Doddaballapur,3.0,3876.0,3.0,300.0
1822,Doddaballapur,3.0,2776.0,4.0,195.0
1823,Doddaballapur,3.0,2440.0,3.0,142.0
1824,Doddaballapur,4.0,2400.0,3.0,200.0
1825,Doddaballapur,1.0,654.0,1.0,49.0
1826,Doddaballapur,4.0,3206.0,5.0,270.0
1827,Doddakallasandra,2.0,1010.0,2.0,40.39
1828,Doddakallasandra,3.0,1360.0,2.0,54.39
1829,Doddakallasandra,3.0,1460.0,2.0,58.39
1830,Doddakallasandra,3.0,1360.0,2.0,54.4
1831,Doddakallasandra,3.0,1425.0,2.0,56.99
1832,Doddakallasandra,2.0,1010.0,2.0,40.39
1833,Doddakallasandra,2.0,1072.0,2.0,42.87
1834,Doddakallasandra,2.0,1010.0,2.0,40.4
1835,Doddakallasandra,2.0,1010.0,2.0,41.0
1836,Doddakallasandra,2.0,1072.0,2.0,42.87
1837,Doddathoguru,2.0,970.0,2.0,33.0
1838,Doddathoguru,2.0,1050.0,2.0,32.0
1839,Doddathoguru,2.0,850.0,2.0,25.0
1840,Doddathoguru,2.0,1030.0,2.0,42.0
1842,Doddathoguru,3.0,1875.0,3.0,55.0
1843,Doddathoguru,1.0,550.0,1.0,17.0
1844,Doddathoguru,2.0,1015.0,2.0,33.5
1845,Doddathoguru,2.0,1104.0,2.0,39.0
1846,Doddathoguru,2.0,915.0,2.0,32.0
1847,Doddathoguru,1.0,750.0,1.0,25.5
1849,Doddathoguru,2.0,855.0,2.0,32.0
1850,Doddathoguru,2.0,1105.0,2.0,50.0
1851,Doddathoguru,2.0,925.0,2.0,30.0
1852,Doddathoguru,3.0,1300.0,2.0,42.0
1854,Doddathoguru,2.0,1100.0,2.0,50.0
1855,Doddathoguru,2.0,940.0,2.0,32.9
1857,Doddathoguru,2.0,1107.0,2.0,44.0
1858,Doddathoguru,2.0,907.0,2.0,40.0
1860,Doddathoguru,1.0,550.0,1.0,17.0
1861,Domlur,3.0,1540.0,3.0,90.0
1862,Domlur,3.0,1875.0,2.0,150.0
1863,Domlur,3.0,1429.0,3.0,86.0
1864,Domlur,1.0,640.0,1.0,55.0
1865,Domlur,2.0,1050.0,2.0,85.0
1866,Domlur,3.0,1800.0,3.0,150.0
1867,Domlur,3.0,1720.0,3.0,135.0
1868,Domlur,3.0,1950.0,3.0,165.0
1869,Domlur,3.0,2180.0,3.0,285.0
1870,Domlur,1.0,650.0,1.0,70.0
1871,Domlur,1.0,780.0,1.0,70.0
1872,Domlur,3.0,2180.0,3.0,285.0
1873,Domlur,3.0,1740.0,3.0,120.0
1874,Domlur,3.0,1695.0,3.0,125.0
1875,Domlur,2.0,1246.0,2.0,95.0
1876,Domlur,3.0,2100.0,3.0,145.0
1877,Domlur,2.0,1276.0,2.0,80.0
1878,Domlur,3.0,1850.0,3.0,180.0
1879,Domlur,3.0,2955.0,3.0,235.0
1880,Domlur,3.0,1650.0,3.0,180.0
1881,Dommasandra,2.0,805.0,2.0,22.14
1882,Dommasandra,3.0,1033.0,2.0,25.53
1884,Dommasandra,2.0,1200.0,2.0,50.0
1885,Dommasandra,4.0,2700.0,3.0,68.0
1886,Dommasandra,3.0,1033.0,2.0,31.5
1887,Dommasandra,2.0,1153.0,2.0,43.5
1888,Dommasandra,2.0,1500.0,2.0,40.0
1889,Dommasandra,2.0,1090.0,2.0,43.5
1890,Dommasandra,2.0,850.0,2.0,25.4
1891,Dommasandra,2.0,674.0,1.0,19.9
1892,Dommasandra,2.0,999.0,2.0,32.9
1894,EPIP Zone,2.0,1285.0,2.0,82.0
1896,EPIP Zone,2.0,1330.0,2.0,92.5
1897,EPIP Zone,2.0,1330.0,2.0,86.98
1898,EPIP Zone,2.0,1330.0,2.0,93.36
1899,EPIP Zone,4.0,3035.0,5.0,200.0
1901,EPIP Zone,2.0,1280.0,2.0,69.0
1902,EPIP Zone,2.0,1125.0,2.0,65.0
1904,EPIP Zone,4.0,3360.0,5.0,225.0
1905,EPIP Zone,2.0,1343.0,2.0,86.0
1910,EPIP Zone,4.0,3360.0,5.0,221.0
1911,Electronic City,2.0,660.0,1.0,23.1
1913,Electronic City,2.0,1000.0,2.0,28.88
1914,Electronic City,3.0,1530.0,2.0,45.9
1918,Electronic City,3.0,1350.0,2.0,56.0
1922,Electronic City,1.0,589.0,1.0,27.0
1923,Electronic City,2.0,1100.0,2.0,42.0
1928,Electronic City,1.0,630.0,1.0,34.65
1931,Electronic City,2.0,1125.0,2.0,32.49
1932,Electronic City,2.0,1094.0,2.0,42.0
1935,Electronic City,3.0,1320.0,2.0,38.13
1939,Electronic City,2.0,880.0,2.0,29.0
1943,Electronic City,3.0,1620.0,3.0,62.0
1944,Electronic City,2.0,710.0,2.0,16.0
1950,Electronic City,2.0,1130.0,2.0,32.64
1952,Electronic City,2.0,975.0,2.0,37.5
1957,Electronic City,2.0,1025.0,2.0,29.6
1961,Electronic City,2.0,921.0,2.0,34.0
1963,Electronic City,2.0,1100.0,2.0,45.0
1967,Electronic City,3.0,1220.0,2.0,35.24
1968,Electronic City,4.0,4000.0,5.0,150.0
1969,Electronic City,2.0,1100.0,2.0,40.0
1972,Electronic City,2.0,1000.0,2.0,22.0
1976,Electronic City,2.0,1000.0,2.0,25.0
1977,Electronic City,2.0,1020.0,2.0,29.46
1979,Electronic City,3.0,1400.0,2.0,48.0
1981,Electronic City,1.0,700.0,1.0,35.0
1983,Electronic City,2.0,1150.0,2.0,38.0
1985,Electronic City,2.0,1090.0,2.0,31.49
1986,Electronic City,2.0,1089.0,2.0,45.0
1987,Electronic City,2.0,1110.0,2.0,40.0
1989,Electronic City,2.0,1130.0,2.0,32.63
1991,Electronic City,3.0,1440.0,2.0,55.0
1992,Electronic City,3.0,1156.0,2.0,44.0
1993,Electronic City,3.0,1400.0,2.0,40.44
1999,Electronic City,3.0,1225.0,3.0,45.03
2003,Electronic City,3.0,1105.0,2.0,35.0
2004,Electronic City,2.0,660.0,1.0,18.0
2005,Electronic City,2.0,660.0,1.0,15.0
2006,Electronic City,2.0,1000.0,2.0,41.0
2011,Electronic City,3.0,1310.0,2.0,37.83
2013,Electronic City,2.0,1090.0,2.0,35.03
2015,Electronic City,2.0,660.0,1.0,16.0
2016,Electronic City,1.0,550.0,1.0,12.0
2020,Electronic City,2.0,1156.0,2.0,42.0
2021,Electronic City,2.0,1020.0,2.0,29.46
2023,Electronic City,2.0,1160.0,2.0,33.5
2025,Electronic City,2.0,1170.0,2.0,33.0
2027,Electronic City,3.0,1410.0,2.0,38.0
2029,Electronic City,2.0,1020.0,2.0,29.45
2031,Electronic City,2.0,1000.0,2.0,29.7
2033,Electronic City,2.0,1065.0,2.0,30.75
2037,Electronic City,3.0,1033.0,2.0,28.41
2040,Electronic City,2.0,660.0,1.0,15.5
2041,Electronic City,2.0,1125.0,2.0,32.5
2042,Electronic City,2.0,1165.0,2.0,33.64
2043,Electronic City,2.0,919.0,2.0,34.0
2049,Electronic City,2.0,1200.0,2.0,34.65
2050,Electronic City,2.0,1096.0,2.0,40.55
2051,Electronic City,2.0,1017.0,2.0,27.0
2052,Electronic City,2.0,1130.0,2.0,32.63
2053,Electronic City,2.0,1110.0,2.0,39.95
2057,Electronic City,1.0,435.0,1.0,21.0
2061,Electronic City,2.0,1200.0,2.0,34.0
2062,Electronic City,2.0,1175.0,2.0,47.0
2063,Electronic City,1.0,435.0,1.0,22.0
2064,Electronic City,3.0,1500.0,2.0,63.0
2067,Electronic City,2.0,919.0,2.0,35.0
2069,Electronic City,1.0,605.0,1.0,13.31
2070,Electronic City,3.0,1159.0,2.0,38.0
2071,Electronic City,1.0,530.0,1.0,13.5
2073,Electronic City,2.0,1025.0,1.0,26.63
2074,Electronic City,3.0,2400.0,2.0,78.0
2076,Electronic City,3.0,1470.0,2.0,44.1
2079,Electronic City,3.0,1320.0,2.0,38.12
2080,Electronic City,2.0,1090.0,2.0,31.48
2081,Electronic City,3.0,1050.0,2.0,39.0
2083,Electronic City,1.0,635.0,1.0,28.0
2085,Electronic City,2.0,1096.0,2.0,39.0
2086,Electronic City,2.0,1150.0,2.0,38.0
2088,Electronic City,2.0,1200.0,2.0,30.0
2089,Electronic City,2.0,1150.0,2.0,35.0
2090,Electronic City,2.0,1165.0,2.0,33.64
2092,Electronic City,2.0,1020.0,2.0,29.45
2094,Electronic City,2.0,800.0,2.0,32.0
2095,Electronic City,2.0,970.0,2.0,34.0
2097,Electronic City,1.0,630.0,1.0,40.5
2098,Electronic City,2.0,1100.0,2.0,41.0
2099,Electronic City,2.0,975.0,2.0,32.0
2100,Electronic City,1.0,605.0,1.0,22.0
2101,Electronic City,2.0,1142.0,2.0,35.0
2103,Electronic City,3.0,1160.0,2.0,42.0
2105,Electronic City,1.0,635.0,1.0,28.0
2108,Electronic City,2.0,1065.0,2.0,30.75
2109,Electronic City,2.0,1127.0,2.0,32.0
2110,Electronic City,2.0,825.0,2.0,35.0
2111,Electronic City,2.0,1200.0,2.0,40.5
2113,Electronic City,3.0,1400.0,2.0,40.45
2114,Electronic City,2.0,1065.0,2.0,30.76
2115,Electronic City,1.0,630.0,1.0,33.7
2116,Electronic City,2.0,1025.0,2.0,29.61
2117,Electronic City,3.0,1160.0,2.0,42.0
2118,Electronic City,2.0,660.0,1.0,16.5
2124,Electronic City,2.0,1140.0,2.0,33.84
2129,Electronic City,2.0,1200.0,2.0,34.65
2130,Electronic City,2.0,1005.0,2.0,39.77
2131,Electronic City,2.0,1110.0,2.0,39.9
2132,Electronic City,2.0,660.0,1.0,23.0
2135,Electronic City,2.0,1020.0,2.0,30.27
2136,Electronic City,2.0,1025.0,2.0,29.6
2137,Electronic City,1.0,418.0,1.0,12.0
2139,Electronic City,3.0,1220.0,2.0,35.25
2140,Electronic City,3.0,1220.0,2.0,35.23
2142,Electronic City,1.0,710.0,1.0,40.42
2143,Electronic City,2.0,1000.0,2.0,29.95
2144,Electronic City,2.0,870.0,2.0,24.0
2147,Electronic City,1.0,1090.0,2.0,31.48
2148,Electronic City,2.0,1140.0,2.0,32.92
2149,Electronic City,2.0,1125.0,2.0,32.49
2151,Electronic City,2.0,1200.0,2.0,34.66
2153,Electronic City,2.0,660.0,1.0,18.0
2157,Electronic City,3.0,1521.0,2.0,57.5
2158,Electronic City,1.0,750.0,1.0,35.0
2161,Electronic City,3.0,1400.0,2.0,40.44
2162,Electronic City,2.0,1190.0,2.0,42.0
2163,Electronic City,2.0,880.0,2.0,19.0
2164,Electronic City,2.0,1150.0,2.0,38.08
2166,Electronic City,2.0,1165.0,2.0,33.65
2168,Electronic City,2.0,970.0,2.0,35.0
2172,Electronic City,3.0,1320.0,2.0,38.12
2174,Electronic City,1.0,589.0,1.0,29.0
2175,Electronic City,2.0,1125.0,2.0,28.13
2176,Electronic City,2.0,825.0,2.0,30.0
2182,Electronic City,2.0,1140.0,2.0,32.93
2184,Electronic City,2.0,750.0,2.0,19.5
2188,Electronic City Phase II,2.0,1056.0,2.0,39.07
2189,Electronic City Phase II,2.0,1020.0,2.0,30.6
2190,Electronic City Phase II,2.0,1069.0,2.0,45.0
2191,Electronic City Phase II,1.0,630.0,1.0,28.35
2192,Electronic City Phase II,3.0,1220.0,2.0,35.23
2193,Electronic City Phase II,2.0,1000.0,2.0,25.0
2194,Electronic City Phase II,2.0,1090.0,2.0,28.34
2196,Electronic City Phase II,3.0,1400.0,2.0,40.43
2197,Electronic City Phase II,2.0,775.0,2.0,38.0
2198,Electronic City Phase II,2.0,1266.0,2.0,59.0
2199,Electronic City Phase II,2.0,1000.0,2.0,28.88
2200,Electronic City Phase II,3.0,1320.0,2.0,38.13
2201,Electronic City Phase II,3.0,1220.0,3.0,35.23
2202,Electronic City Phase II,2.0,972.0,2.0,44.0
2203,Electronic City Phase II,3.0,1400.0,2.0,40.43
2204,Electronic City Phase II,2.0,1031.0,2.0,55.0
2205,Electronic City Phase II,2.0,1003.0,2.0,40.6
2206,Electronic City Phase II,2.0,1031.0,2.0,56.35
2207,Electronic City Phase II,3.0,1320.0,2.0,38.12
2209,Electronic City Phase II,2.0,1160.0,2.0,33.5
2210,Electronic City Phase II,2.0,1065.0,2.0,30.75
2211,Electronic City Phase II,2.0,1219.0,2.0,61.25
2212,Electronic City Phase II,3.0,1400.0,2.0,41.58
2213,Electronic City Phase II,2.0,1000.0,2.0,28.88
2215,Electronic City Phase II,2.0,769.0,2.0,40.0
2216,Electronic City Phase II,3.0,1400.0,2.0,40.43
2217,Electronic City Phase II,2.0,900.0,2.0,32.5
2218,Electronic City Phase II,3.0,1329.0,2.0,41.0
2219,Electronic City Phase II,3.0,1220.0,3.0,35.23
2222,Electronic City Phase II,2.0,1070.0,2.0,45.0
2223,Electronic City Phase II,3.0,1310.0,2.0,32.75
2224,Electronic City Phase II,3.0,1310.0,2.0,37.83
2225,Electronic City Phase II,2.0,1140.0,2.0,33.06
2226,Electronic City Phase II,2.0,1089.0,2.0,32.67
2227,Electronic City Phase II,2.0,1031.0,2.0,55.0
2228,Electronic City Phase II,2.0,1253.0,2.0,65.8
2229,Electronic City Phase II,3.0,1400.0,2.0,40.44
2230,Electronic City Phase II,2.0,1160.0,2.0,33.5
2233,Electronic City Phase II,2.0,1116.0,2.0,37.0
2234,Electronic City Phase II,2.0,1125.0,2.0,29.25
2235,Electronic City Phase II,2.0,1000.0,2.0,28.88
2236,Electronic City Phase II,2.0,1000.0,2.0,28.88
2237,Electronic City Phase II,2.0,1000.0,2.0,28.88
2238,Electronic City Phase II,2.0,1165.0,2.0,30.29
2240,Electronic City Phase II,2.0,1031.0,2.0,53.0
2241,Electronic City Phase II,3.0,1611.0,2.0,48.33
2242,Electronic City Phase II,2.0,1065.0,2.0,30.88
2243,Electronic City Phase II,3.0,1220.0,3.0,36.6
2245,Electronic City Phase II,2.0,1065.0,2.0,56.13
2246,Electronic City Phase II,3.0,1320.0,2.0,38.13
2247,Electronic City Phase II,2.0,920.0,2.0,26.0
2248,Electronic City Phase II,2.0,1140.0,2.0,33.84
2249,Electronic City Phase II,2.0,1219.0,2.0,61.26
2251,Electronic City Phase II,2.0,1125.0,2.0,32.49
2252,Electronic City Phase II,3.0,1310.0,2.0,37.83
2253,Electronic City Phase II,2.0,1286.0,2.0,69.0
2254,Electronic City Phase II,3.0,1220.0,2.0,36.21
2255,Electronic City Phase II,2.0,1140.0,2.0,32.92
2256,Electronic City Phase II,2.0,1116.0,2.0,40.0
2259,Electronic City Phase II,3.0,1502.0,3.0,50.0
2260,Electronic City Phase II,2.0,1020.0,2.0,32.0
2262,Electronic City Phase II,2.0,1020.0,2.0,27.43
2263,Electronic City Phase II,2.0,1025.0,2.0,26.65
2264,Electronic City Phase II,2.0,1020.0,2.0,29.45
2265,Electronic City Phase II,2.0,1000.0,2.0,28.88
2266,Electronic City Phase II,3.0,1310.0,2.0,37.84
2267,Electronic City Phase II,2.0,1140.0,2.0,28.5
2268,Electronic City Phase II,2.0,1125.0,2.0,32.49
2269,Electronic City Phase II,2.0,1200.0,2.0,34.65
2270,Electronic City Phase II,2.0,1160.0,2.0,52.2
2271,Electronic City Phase II,2.0,1244.0,2.0,55.0
2272,Electronic City Phase II,2.0,1160.0,2.0,33.51
2273,Electronic City Phase II,3.0,1220.0,3.0,35.25
2274,Electronic City Phase II,3.0,1625.0,2.0,48.75
2275,Electronic City Phase II,2.0,972.0,2.0,40.0
2276,Electronic City Phase II,2.0,1160.0,2.0,33.51
2277,Electronic City Phase II,3.0,1400.0,2.0,40.45
2278,Electronic City Phase II,2.0,1090.0,2.0,31.48
2279,Electronic City Phase II,2.0,1140.0,2.0,32.92
2280,Electronic City Phase II,1.0,650.0,1.0,35.0
2281,Electronic City Phase II,2.0,1155.0,2.0,57.0
2283,Electronic City Phase II,2.0,1300.0,2.0,28.0
2284,Electronic City Phase II,2.0,1160.0,2.0,33.5
2285,Electronic City Phase II,2.0,1025.0,2.0,29.6
2286,Electronic City Phase II,2.0,829.0,2.0,22.8
2288,Electronic City Phase II,2.0,1252.0,2.0,67.0
2289,Electronic City Phase II,3.0,1320.0,2.0,38.12
2290,Electronic City Phase II,2.0,1125.0,2.0,32.63
2291,Electronic City Phase II,2.0,1140.0,2.0,34.0
2292,Electronic City Phase II,3.0,1310.0,2.0,37.84
2293,Electronic City Phase II,3.0,1400.0,2.0,40.43
2295,Electronic City Phase II,2.0,1135.0,2.0,46.0
2297,Electronic City Phase II,2.0,1165.0,2.0,33.64
2298,Electronic City Phase II,3.0,1400.0,2.0,40.44
2300,Electronic City Phase II,1.0,575.0,1.0,16.75
2302,Electronic City Phase II,2.0,1065.0,2.0,30.76
2303,Electronic City Phase II,2.0,1065.0,2.0,30.75
2304,Electronic City Phase II,2.0,1140.0,2.0,33.06
2305,Electronic City Phase II,2.0,911.0,2.0,26.5
2306,Electronic City Phase II,2.0,1200.0,2.0,34.65
2307,Electronic City Phase II,2.0,1031.0,2.0,54.48
2308,Electronic City Phase II,3.0,1310.0,2.0,37.83
2309,Electronic City Phase II,3.0,1651.0,3.0,49.53
2310,Electronics City Phase 1,2.0,1070.0,2.0,45.5
2315,Electronics City Phase 1,2.0,1175.0,2.0,51.47
2317,Electronics City Phase 1,2.0,920.0,2.0,33.0
2318,Electronics City Phase 1,3.0,1750.0,3.0,84.0
2319,Electronics City Phase 1,3.0,1350.0,3.0,55.0
2320,Electronics City Phase 1,2.0,940.0,2.0,40.0
2322,Electronics City Phase 1,3.0,1595.0,3.0,75.0
2327,Electronics City Phase 1,1.0,650.0,1.0,23.0
2330,Electronics City Phase 1,1.0,755.0,1.0,42.41
2331,Electronics City Phase 1,1.0,580.0,1.0,27.0
2335,Electronics City Phase 1,2.0,995.0,2.0,42.0
2337,Electronics City Phase 1,3.0,1445.0,2.0,56.0
2339,Electronics City Phase 1,1.0,635.0,1.0,26.0
2341,Electronics City Phase 1,2.0,1085.0,2.0,46.0
2343,Electronics City Phase 1,1.0,360.0,1.0,16.9
2344,Electronics City Phase 1,1.0,638.0,1.0,32.0
2346,Electronics City Phase 1,1.0,585.0,1.0,21.0
2350,Electronics City Phase 1,3.0,1522.5,2.0,60.75
2352,Electronics City Phase 1,2.0,1175.0,2.0,50.0
2354,Electronics City Phase 1,3.0,1450.0,3.0,70.0
2355,Electronics City Phase 1,3.0,1450.0,2.0,63.51
2356,Electronics City Phase 1,3.0,1450.0,3.0,58.0
2365,Electronics City Phase 1,2.0,1080.0,2.0,46.0
2367,Electronics City Phase 1,3.0,1900.0,3.0,85.0
2369,Electronics City Phase 1,1.0,755.0,1.0,30.12
2371,Frazer Town,3.0,1700.0,3.0,180.0
2372,Frazer Town,3.0,1305.0,3.0,95.45
2373,Frazer Town,3.0,1870.0,3.0,185.0
2374,Frazer Town,3.0,1750.0,3.0,150.0
2375,Frazer Town,4.0,4850.0,6.0,385.0
2376,Frazer Town,3.0,2000.0,3.0,200.0
2377,Frazer Town,3.0,3500.0,4.0,330.0
2378,Frazer Town,3.0,2350.0,4.0,285.0
2379,Frazer Town,2.0,1550.0,2.0,140.0
2380,Frazer Town,3.0,1900.0,4.0,145.0
2381,Frazer Town,3.0,2560.0,3.0,265.0
2382,Frazer Town,3.0,2400.0,3.0,260.0
2383,Frazer Town,3.0,2560.0,3.0,288.0
2385,Frazer Town,4.0,4856.0,5.0,410.0
2386,Frazer Town,2.0,1315.0,2.0,140.0
2387,Frazer Town,3.0,1706.0,3.0,154.0
2388,Frazer Town,3.0,2079.0,3.0,220.0
2391,Frazer Town,3.0,3100.0,3.0,400.0
2392,Frazer Town,3.0,5400.0,3.0,400.0
2393,Frazer Town,2.0,1180.0,2.0,105.0
2395,Frazer Town,3.0,1870.0,3.0,180.0
2396,Frazer Town,1.0,896.0,1.0,100.0
2397,Frazer Town,2.0,1420.0,2.0,120.0
2398,GM Palaya,3.0,1820.0,2.0,86.0
2399,GM Palaya,2.0,1225.0,2.0,47.0
2400,GM Palaya,2.0,1140.0,2.0,48.95
2401,GM Palaya,3.0,1315.0,2.0,65.0
2402,GM Palaya,3.0,1315.0,3.0,65.0
2403,GM Palaya,3.0,1315.0,3.0,64.0
2404,GM Palaya,3.0,1735.0,3.0,70.0
2405,GM Palaya,3.0,1643.0,2.0,70.0
2406,GM Palaya,1.0,675.0,1.0,35.0
2408,Garudachar Palya,2.0,1060.0,2.0,48.7
2409,Garudachar Palya,2.0,1150.0,2.0,52.75
2413,Garudachar Palya,2.0,1150.0,2.0,52.8
2414,Garudachar Palya,2.0,1150.0,2.0,52.8
2415,Garudachar Palya,2.0,1060.0,2.0,48.5
2416,Garudachar Palya,2.0,1150.0,2.0,52.5
2418,Garudachar Palya,2.0,1060.0,2.0,48.66
2419,Garudachar Palya,2.0,1150.0,2.0,52.0
2420,Garudachar Palya,2.0,1154.0,2.0,51.8
2421,Garudachar Palya,3.0,1325.0,2.0,60.0
2422,Giri Nagar,4.0,2400.0,4.0,400.0
2423,Giri Nagar,3.0,1800.0,3.0,252.0
2424,Giri Nagar,3.0,1350.0,3.0,240.0
2425,Giri Nagar,4.0,2400.0,4.0,400.0
2426,Giri Nagar,6.0,3000.0,4.0,375.0
2427,Giri Nagar,6.0,2400.0,6.0,400.0
2428,Giri Nagar,4.0,4000.0,3.0,750.0
2429,Gollarapalya Hosahalli,2.0,861.0,2.0,34.5
2430,Gollarapalya Hosahalli,3.0,1408.0,3.0,62.0
2431,Gollarapalya Hosahalli,2.0,861.0,2.0,34.5
2432,Gollarapalya Hosahalli,3.0,1318.0,3.0,54.0
2433,Gollarapalya Hosahalli,2.0,861.0,2.0,36.5
2434,Gollarapalya Hosahalli,3.0,1320.0,3.0,60.0
2435,Gollarapalya Hosahalli,3.0,1345.0,3.0,60.0
2436,Gollarapalya Hosahalli,4.0,1905.0,3.0,86.0
2437,Gollarapalya Hosahalli,3.0,1318.0,3.0,56.0
2438,Gollarapalya Hosahalli,2.0,1129.0,2.0,50.0
2439,Gottigere,2.0,1100.0,2.0,40.0
2440,Gottigere,2.0,967.0,2.0,45.0
2442,Gottigere,2.0,1222.0,2.0,63.0
2443,Gottigere,3.0,1600.0,2.0,55.0
2445,Gottigere,2.0,950.0,2.0,38.0
2446,Gottigere,2.0,1153.0,2.0,48.5
2447,Gottigere,1.0,812.0,1.0,26.0
2448,Gottigere,4.0,2000.0,4.0,82.0
2452,Gottigere,1.0,812.0,1.0,26.0
2453,Gottigere,2.0,990.0,2.0,40.0
2454,Gottigere,2.0,1235.0,2.0,63.0
2456,Gottigere,2.0,1000.0,2.0,35.0
2457,Gottigere,2.0,1010.0,2.0,35.0
2458,Gottigere,3.0,1385.0,2.0,50.0
2459,Gottigere,2.0,1410.0,2.0,45.0
2460,Gottigere,3.0,1425.0,2.0,47.0
2462,Gottigere,2.0,945.0,2.0,45.0
2463,Gottigere,3.0,1400.0,2.0,50.0
2466,Gottigere,2.0,1120.0,2.0,50.0
2468,Gottigere,2.0,1200.0,2.0,40.0
2469,Gottigere,2.0,1280.0,2.0,61.0
2470,Gottigere,2.0,1205.0,2.0,56.58
2471,Gottigere,2.0,1170.0,2.0,40.0
2474,Gottigere,2.0,1110.0,2.0,36.25
2475,Gottigere,2.0,1245.0,2.0,59.0
2476,Gottigere,2.0,1200.0,2.0,50.0
2477,Green Glen Layout,3.0,1670.0,3.0,120.0
2479,Green Glen Layout,3.0,1776.42,3.0,105.0
2481,Green Glen Layout,2.0,940.0,2.0,56.8
2482,Green Glen Layout,2.0,1075.0,2.0,60.0
2483,Green Glen Layout,3.0,1715.0,3.0,115.0
2484,Green Glen Layout,3.0,1751.0,2.0,115.0
2485,Green Glen Layout,3.0,1750.0,3.0,130.0
2486,Green Glen Layout,3.0,1530.0,3.0,105.0
2487,Green Glen Layout,3.0,1752.0,3.0,105.0
2488,Green Glen Layout,3.0,1680.0,4.0,95.0
2489,Green Glen Layout,3.0,1728.0,3.0,125.0
2490,Green Glen Layout,3.0,1645.0,3.0,110.0
2491,Green Glen Layout,3.0,1517.0,3.0,100.0
2493,Green Glen Layout,4.0,3270.0,4.0,205.0
2494,Green Glen Layout,3.0,1750.0,3.0,120.0
2495,Green Glen Layout,3.0,1751.0,3.0,115.0
2496,Green Glen Layout,3.0,1750.0,3.0,105.0
2497,Green Glen Layout,3.0,1885.0,3.0,135.0
2498,Green Glen Layout,3.0,1715.0,3.0,120.0
2499,Green Glen Layout,3.0,1623.29,2.0,105.0
2500,Green Glen Layout,3.0,1715.0,3.0,115.0
2501,Green Glen Layout,3.0,1715.0,3.0,105.0
2502,Green Glen Layout,3.0,1600.0,3.0,105.0
2503,Green Glen Layout,3.0,1717.0,3.0,125.0
2504,Green Glen Layout,2.0,1250.0,2.0,75.0
2505,Green Glen Layout,3.0,1715.0,3.0,112.0
2506,Gubbalala,3.0,1470.0,2.0,82.0
2507,Gubbalala,3.0,1745.0,3.0,104.0
2508,Gubbalala,3.0,1745.0,3.0,115.0
2509,Gubbalala,3.0,1745.0,3.0,110.0
2510,Gubbalala,3.0,1650.0,3.0,71.0
2511,Gubbalala,5.0,2570.0,4.0,141.0
2512,Gubbalala,2.0,1205.0,2.0,70.0
2513,Gubbalala,3.0,1435.0,2.0,80.0
2514,Gubbalala,2.0,1475.0,2.0,80.0
2515,Gubbalala,4.0,2000.0,4.0,85.0
2516,Gubbalala,2.0,1100.0,2.0,49.5
2517,Gubbalala,2.0,1060.0,2.0,46.0
2518,Gubbalala,3.0,2000.0,3.0,125.0
2519,Gubbalala,4.0,4000.0,5.0,195.0
2520,Gunjur,2.0,1140.0,2.0,43.0
2524,Gunjur,2.0,1140.0,2.0,49.11
2525,Gunjur,2.0,1195.0,2.0,44.0
2526,Gunjur,2.0,1190.0,2.0,40.0
2527,Gunjur,2.0,1457.0,2.0,60.0
2528,Gunjur,2.0,1080.0,2.0,41.0
2529,Gunjur,3.0,2132.0,3.0,80.0
2530,Gunjur,3.0,1800.0,3.0,70.0
2531,Gunjur,2.0,1175.0,2.0,43.48
2533,Gunjur,2.0,1071.0,2.0,51.0
